ticker,entry,exit
JEF,infinity,9/26/2019
DISH,3/13/2017,6/20/2023
MAA,12/2/2016,infinity
ALGN,6/19/2017,infinity
KSU,5/23/2013,12/14/2021
AVP,infinity,3/23/2015
FTNT,10/11/2018,infinity
BIG,infinity,2/15/2013
ARNC,11/1/2016,4/1/2020
QRVO,6/11/2015,12/23/2024
TGNA,infinity,6/2/2017
NKTR,3/19/2018,10/3/2019
XRAY,infinity,4/3/2024
CCK,infinity,12/5/2000
ACT,4/12/1999,infinity
GOOGL,4/3/2014,infinity
DPS,infinity,7/2/2018
CSC,infinity,12/1/2015
CMG,4/27/2011,infinity
AVGO,5/8/2014,infinity
JCP,infinity,12/2/2013
HPH,infinity,6/9/1999
MIL,infinity,7/14/2010
GEV,4/2/2024,infinity
NSM,infinity,9/23/2011
NFLX,12/17/2010,infinity
SWY,infinity,1/27/2015
TYC,8/26/2010,9/6/2016
STE,12/23/2019,infinity
ERIE,9/23/2024,infinity
TWC,infinity,5/18/2016
BIO,6/22/2020,9/23/2024
HP,2/26/2010,5/22/2020
WIN,infinity,4/7/2015
TTWO,3/19/2018,infinity
AA,infinity,11/1/2016
EP,infinity,5/17/2012
TPL,11/26/2024,infinity
TIE,infinity,12/21/2012
JNY,infinity,3/3/2009
ROL,10/1/2018,infinity
KRFT,10/2/2012,7/6/2015
SGP,infinity,11/3/2009
JBHT,7/1/2015,infinity
HFC,6/18/2018,6/4/2021
RSH,infinity,6/30/2011
SII,infinity,8/26/2010
KMX,6/28/2010,infinity
RRC,12/20/2007,6/18/2018
APC,infinity,8/9/2019
CDW,9/23/2019,infinity
UHS,9/20/2014,infinity
TDC,10/1/2007,6/19/2017
KORS,11/13/2013,infinity
AWK,3/4/2016,infinity
MPC,6/30/2011,infinity
DISCA,infinity,4/11/2022
LRCX,6/5/2012,infinity
ATI,infinity,7/2/2015
NCLH,10/13/2017,infinity
MOLX,infinity,12/10/2013
HRL,3/3/2009,infinity
MRO,infinity,11/26/2024
S,infinity,7/8/2013
PTV,infinity,11/17/2010
FMC,8/19/2009,3/24/2025
CHTR,9/8/2016,infinity
BBWI,infinity,10/1/2024
FDS,12/20/2021,infinity
SLR,infinity,10/2/2007
CSGP,9/19/2022,infinity
PCG,10/3/2022,1/18/2019
BMS,6/7/2019,6/11/2019
CPRI,infinity,5/12/2020
OGN,6/3/2021,10/18/2023
SMCI,3/18/2024,infinity
ADT,10/1/2012,5/3/2016
TSS,infinity,9/23/2019
NYX,infinity,11/13/2013
DECK,3/18/2024,infinity
SBL,12/5/2000,1/10/2007
ANSS,6/19/2017,infinity
CRL,5/14/2021,infinity
TWTR,6/7/2018,11/1/2022
NDSN,2/15/2022,infinity
NBR,infinity,3/23/2015
LYB,9/5/2012,infinity
DLTR,12/16/2011,infinity
FSR,12/11/1998,infinity
BRO,9/20/2021,infinity
ATVI,8/28/2015,10/18/2023
HUBB,10/18/2023,infinity
COO,9/22/2016,infinity
SBUX,6/7/2000,infinity
CERN,4/29/2010,6/8/2022
M,infinity,4/6/2020
FTR,infinity,3/20/2017
O,4/7/2015,infinity
MCK,infinity,9/30/1994
JBL,12/18/2023,11/5/2014
DD,6/3/2019,9/1/2017
KMI,5/17/2012,infinity
ARG,9/28/2009,5/23/2016
PCS,6/29/2009,4/30/2013
LVS,10/3/2019,infinity
TER,9/21/2020,12/23/2013
SNDK,infinity,5/13/2016
RCL,12/5/2014,infinity
FRE,infinity,9/12/2008
MEE,6/23/2008,6/1/2011
CPT,4/4/2022,infinity
ODFL,12/9/2019,infinity
PYPL,7/20/2015,infinity
PXD,infinity,5/8/2024
MBC,12/15/2022,12/19/2022
AMG,7/1/2014,12/23/2019
WPX,12/31/2011,3/21/2014
SEE,infinity,12/18/2023
EMC,infinity,9/8/2016
PLL,infinity,8/28/2015
KKR,6/24/2024,infinity
INCY,2/28/2017,infinity
WST,5/22/2020,infinity
MNST,6/29/2012,infinity
CHD,12/29/2015,infinity
LLL,infinity,7/1/2019
ITT,infinity,10/31/2011
TEL,10/14/2011,6/25/2009
AV,infinity,10/26/2007
HRB,infinity,9/21/2020
TMC,infinity,6/12/2000
DLR,5/18/2016,infinity
DISCK,8/6/2014,4/11/2022
FTV,7/5/2016,infinity
SWN,infinity,4/4/2017
PKG,7/26/2017,infinity
MON,infinity,6/7/2018
XYL,10/31/2011,infinity
EK,infinity,12/17/2010
JDSU,7/27/2000,12/23/2013
EQT,10/3/2022,11/13/2018
IDXX,1/5/2017,infinity
ARE,3/20/2017,infinity
MBI,infinity,12/18/2009
AME,9/20/2013,infinity
LII,12/23/2024,infinity
WYN,infinity,5/31/2018
KHC,7/6/2015,infinity
MAT,infinity,6/7/2019
GM,6/6/2013,infinity
BX,9/18/2023,infinity
LUMN,infinity,3/20/2023
ALXN,5/21/2012,7/21/2021
SBAC,9/1/2017,infinity
HAR,infinity,3/16/2017
TSLA,12/21/2020,infinity
CPWR,12/11/1998,12/31/2011
WHR,infinity,3/18/2024
SEDG,12/20/2021,12/18/2023
CELG,infinity,11/21/2019
MOS,9/23/2011,infinity
STZ,7/1/2005,infinity
NOVL,infinity,4/27/2011
WFR,infinity,12/16/2011
JOY,infinity,10/7/2015
T,infinity,11/18/2005
KBH,infinity,12/18/2009
TMUS,7/15/2019,infinity
CCE,infinity,5/31/2016
LDOS,8/9/2019,infinity
DF,infinity,5/23/2013
WRB,12/5/2019,infinity
EVHC,12/2/2016,10/11/2018
FLS,infinity,3/22/2021
HBI,3/23/2015,12/20/2021
HWM,4/1/2020,infinity
DELL,9/23/2024,10/29/2013
MOH,3/2/2022,infinity
BS,infinity,12/5/2000
MRNA,7/21/2021,infinity
SYF,11/18/2015,infinity
ETFC,infinity,10/7/2020
CRM,9/12/2008,infinity
FOX,3/19/2019,3/19/2019
CRWD,6/24/2024,infinity
CEPH,infinity,10/14/2011
IT,4/5/2017,infinity
NLSN,7/8/2013,10/12/2022
DXCM,5/12/2020,infinity
QEP,6/30/2010,7/1/2015
HCBK,infinity,11/2/2015
ODP,infinity,12/17/2010
PANW,6/20/2023,infinity
GENZ,infinity,4/1/2011
MAC,5/8/2013,12/23/2019
VLTO,10/2/2023,infinity
URI,9/20/2014,infinity
AMTM,9/30/2024,12/23/2024
BBBY,infinity,7/26/2017
POM,infinity,3/30/2016
ABK,12/5/2000,6/10/2008
AJG,5/31/2016,infinity
DG,12/3/2012,infinity
ALLE,12/2/2013,infinity
TSO,9/27/2007,infinity
WFM,infinity,8/29/2017
HOG,infinity,6/22/2020
,infinity,infinity
BC,infinity,6/23/2008
TRIP,12/20/2011,12/23/2019
GEHC,1/4/2023,infinity
CVC,12/17/2010,6/22/2016
PTC,4/20/2021,infinity
CVG,6/12/2000,12/18/2009
DXC,4/4/2017,10/3/2023
DYN,infinity,12/18/2009
RRD,infinity,12/11/2012
ROST,12/18/2009,infinity
RHT,infinity,7/15/2019
WSM,3/24/2025,infinity
AIV,infinity,12/21/2020
AOS,7/26/2017,infinity
SWKS,3/12/2015,infinity
SLM,infinity,5/1/2014
MMI,1/3/2011,5/21/2012
JOYG,2/25/2011,infinity
CAM,infinity,4/4/2016
TYL,6/22/2020,infinity
PBI,infinity,3/1/2017
FRC,1/2/2019,5/4/2023
UA,4/8/2016,6/21/2022
ABBV,1/2/2013,infinity
MXIM,12/3/2018,8/30/2021
TRB,infinity,12/20/2007
UAL,9/2/2015,infinity
CFC,infinity,7/1/2008
LXK,infinity,10/1/2012
LKQ,5/23/2016,infinity
ATO,2/15/2019,infinity
JNS,infinity,11/18/2011
OMX,infinity,6/23/2008
SIG,7/29/2015,3/19/2018
MPWR,2/12/2021,infinity
ABMD,5/31/2018,12/22/2022
HOT,infinity,9/22/2016
MGM,7/26/2017,infinity
BEAM,infinity,5/1/2014
COIN,5/19/2025,infinity
DJ,infinity,12/13/2007
AMD,3/20/2017,9/20/2013
ESS,4/2/2014,infinity
BTU,infinity,9/20/2014
SUN,infinity,10/10/2012
CPRT,7/2/2018,infinity
BHF,8/8/2017,4/2/2019
HLT,6/19/2017,infinity
COTY,9/30/2016,9/21/2020
ANET,8/28/2018,infinity
TDG,6/3/2016,infinity
ADS,12/23/2013,6/22/2020
AKS,7/1/2008,12/16/2011
UAA,infinity,6/21/2022
WDAY,12/23/2024,infinity
RJF,3/20/2017,infinity
MUR,infinity,7/26/2017
TKO,3/24/2025,infinity
POOL,10/7/2020,infinity
ESRX,9/25/2003,12/24/2018
SRCL,infinity,12/3/2018
WAB,2/27/2019,infinity
NXPI,3/22/2021,infinity
INFO,6/2/2017,3/2/2022
GR,infinity,7/31/2012
GDDY,6/24/2024,infinity
NOV,infinity,9/20/2021
EXR,1/19/2016,infinity
VST,5/8/2024,infinity
ESV,7/31/2012,3/30/2016
EPAM,12/14/2021,infinity
RHI,infinity,6/24/2024
MTD,9/6/2016,infinity
VIAB,infinity,12/5/2019
CFN,infinity,3/18/2015
SLE,infinity,6/29/2012
MSCI,4/4/2018,infinity
NCC,9/30/1994,infinity
NWSA,7/1/2013,infinity
DNR,infinity,3/23/2015
EXPE,10/2/2007,infinity
COV,2/28/2011,1/27/2015
